# wavs_angstrom A_lambda/A_V
1.000000000000000000e+01 8.296859325419067233e+00
1.001382644197049920e+01 8.296804019651183637e+00
1.002767200099075673e+01 8.296748637415102934e+00
1.004153670349285221e+01 8.296693178605094587e+00
1.005542057594539962e+01 8.296637643115285954e+00
1.006932364485362719e+01 8.296582030839651623e+00
1.008324593675940228e+01 8.296526341672029403e+00
1.009718747824129537e+01 8.296470575506102563e+00
1.011114829591461195e+01 8.296414732235408707e+00
1.012512841643147077e+01 8.296358811753339779e+00
1.013912786648083575e+01 8.296302813953143840e+00
1.015314667278857819e+01 8.296246738727912629e+00
1.016718486211750694e+01 8.296190585970595777e+00
1.018124246126744659e+01 8.296134355573997254e+00
1.019531949707527829e+01 8.296078047430764713e+00
1.020941599641498421e+01 8.296021661433407246e+00
1.022353198619769721e+01 8.295965197474275854e+00
1.023766749337176840e+01 8.295908655445579427e+00
1.025182254492280620e+01 8.295852035239374089e+00
1.026599716787373495e+01 8.295795336747570303e+00
1.028019138928482690e+01 8.295738559861927541e+00
1.029440523625378390e+01 8.295681704474050733e+00
1.030863873591577118e+01 8.295624770475402698e+00
1.032289191544347595e+01 8.295567757757293492e+00
1.033716480204713761e+01 8.295510666210878625e+00
1.035145742297463656e+01 8.295453495727167947e+00
1.036576980551152261e+01 8.295396246197020318e+00
1.038010197698106829e+01 8.295338917511141830e+00
1.039445396474433458e+01 8.295281509560089361e+00
1.040882579620019044e+01 8.295224022234265249e+00
1.042321749878541048e+01 8.295166455423924390e+00
1.043762909997469635e+01 8.295108809019168916e+00
1.045206062728074237e+01 8.295051082909942863e+00
1.046651210825426581e+01 8.294993276986049935e+00
1.048098357048409746e+01 8.294935391137130409e+00
1.049547504159720290e+01 8.294877425252677128e+00
1.050998654925875542e+01 8.294819379222031941e+00
1.052451812117216257e+01 8.294761252934378604e+00
1.053906978507914793e+01 8.294703046278749881e+00
1.055364156875979198e+01 8.294644759144027546e+00
1.056823350003258888e+01 8.294586391418935278e+00
1.058284560675447850e+01 8.294527942992047542e+00
1.059747791682093343e+01 8.294469413751782483e+00
1.061213045816599099e+01 8.294410803586401926e+00
1.062680325876231713e+01 8.294352112384018483e+00
1.064149634662123667e+01 8.294293340032581341e+00
1.065620974979282032e+01 8.294234486419895802e+00
1.067094349636591843e+01 8.294175551433603744e+00
1.068569761446822319e+01 8.294116534961194276e+00
1.070047213226629879e+01 8.294057436890001966e+00
1.071526707796567024e+01 8.293998257107205063e+00
1.073008247981086072e+01 8.293938995499821942e+00
1.074491836608543949e+01 8.293879651954725318e+00
1.075977476511208764e+01 8.293820226358619152e+00
1.077465170525263538e+01 8.293760718598054638e+00
1.078954921490813668e+01 8.293701128559433755e+00
1.080446732251891540e+01 8.293641456128991507e+00
1.081940605656461685e+01 8.293581701192806577e+00
1.083436544556425396e+01 8.293521863636808433e+00
1.084934551807628189e+01 8.293461943346761345e+00
1.086434630269864066e+01 8.293401940208273260e+00
1.087936782806881375e+01 8.293341854106792255e+00
1.089441012286386545e+01 8.293281684927610087e+00
1.090947321580052609e+01 8.293221432555863970e+00
1.092455713563522401e+01 8.293161096876524141e+00
1.093966191116415665e+01 8.293100677774409846e+00
1.095478757122331714e+01 8.293040175134173353e+00
1.096993414468858319e+01 8.292979588840312388e+00
1.098510166047575787e+01 8.292918918777164805e+00
1.100029014754062473e+01 8.292858164828903256e+00
1.101549963487898687e+01 8.292797326879551179e+00
1.103073015152675929e+01 8.292736404812959705e+00
1.104598172655999200e+01 8.292675398512827201e+00
1.106125438909494463e+01 8.292614307862686829e+00
1.107654816828812194e+01 8.292553132745913658e+00
1.109186309333634846e+01 8.292491873045721107e+00
1.110719919347682350e+01 8.292430528645159171e+00
1.112255649798716206e+01 8.292369099427116197e+00
1.113793503618547120e+01 8.292307585274324211e+00
1.115333483743037135e+01 8.292245986069346486e+00
1.116875593112110110e+01 8.292184301694582871e+00
1.118419834669753321e+01 8.292122532032276894e+00
1.119966211364025632e+01 8.292060676964505106e+00
1.121514726147059982e+01 8.291998736373184187e+00
1.123065381975073329e+01 8.291936710140063838e+00
1.124618181808368966e+01 8.291874598146732112e+00
1.126173128611343799e+01 8.291812400274611861e+00
1.127730225352491900e+01 8.291750116404966064e+00
1.129289475004413390e+01 8.291687746418890725e+00
1.130850880543817816e+01 8.291625290197313092e+00
1.132414444951531074e+01 8.291562747621004092e+00
1.133980171212498966e+01 8.291500118570567679e+00
1.135548062315795725e+01 8.291437402926433720e+00
1.137118121254627923e+01 8.291374600568881092e+00
1.138690351026341574e+01 8.291311711378012816e+00
1.140264754632424982e+01 8.291248735233768485e+00
1.141841335078518149e+01 8.291185672015926045e+00
1.143420095374416157e+01 8.291122521604089357e+00
1.145001038534076621e+01 8.291059283877704189e+00
1.146584167575621827e+01 8.290995958716042225e+00
1.148169485521349742e+01 8.290932545998213499e+00
1.149756995397735615e+01 8.290869045603157517e+00
1.151346700235439968e+01 8.290805457409648582e+00
1.152938603069313750e+01 8.290741781296294022e+00
1.154532706938402420e+01 8.290678017141530631e+00
1.156129014885955186e+01 8.290614164823628229e+00
1.157727529959428381e+01 8.290550224220689657e+00
1.159328255210492387e+01 8.290486195210647224e+00
1.160931193695035191e+01 8.290422077671264489e+00
1.162536348473171977e+01 8.290357871480139806e+00
1.164143722609247966e+01 8.290293576514695673e+00
1.165753319171846414e+01 8.290229192652192935e+00
1.167365141233791093e+01 8.290164719769714807e+00
